Ticket_Key,Agentkey,IssueType,Vendor,Feedback,CPC,AWT (hrs),Good Feedback
1661,5,Feedback,ABC,Good,1,2.9,1
2326,5,Feedback,ABC,Good,1,3.4,1
2730,5,Feedback,ABC,Good,1,3,1
3749,5,Feedback,ABC,Good,1,3.9,1
4689,5,Feedback,ABC,Good,1,2.7,1
5684,5,Feedback,ABC,Good,1,1.8,1
6062,5,Feedback,ABC,Good,1,38,1
6379,5,Feedback,ABC,Good,1,3.4,1
6581,5,Feedback,ABC,Good,1,16.6,1
6602,5,Feedback,ABC,Good,1,19.1,1
6846,5,Feedback,ABC,Good,1,19.3,1
7191,5,Feedback,ABC,Good,1,3.7,1
7327,5,Feedback,ABC,Good,1,22.2,1
7920,5,Feedback,ABC,Good,1,1,1
9101,5,Feedback,ABC,Good,1,35,1
9344,5,Feedback,ABC,Good,1,3,1
9454,5,Feedback,ABC,Good,1,1.5,1
10502,5,Feedback,ABC,Good,1,3.8,1
11459,5,Feedback,ABC,Good,1,1.9,1
11835,5,Feedback,ABC,Good,1,2.9,1
12090,5,Feedback,ABC,Good,1,37.2,1
12204,5,Feedback,ABC,Good,1,19.9,1
12704,5,Feedback,ABC,Good,1,36.1,1
13096,5,Feedback,ABC,Good,1,11.7,1
15214,5,Feedback,ABC,Good,1,3.3,1
15971,5,Feedback,ABC,Good,1,26.3,1
16199,5,Feedback,ABC,Good,1,1.6,1
17739,5,Feedback,ABC,Good,1,2.4,1
18591,5,Feedback,ABC,Good,1,13.9,1
19735,5,Feedback,ABC,Good,1,3.3,1
19862,5,Feedback,ABC,Good,1,4,1
20163,5,Feedback,ABC,Good,1,1.7,1
25713,5,Feedback,ABC,Good,1,3.3,1
26755,5,Feedback,ABC,Good,1,1.7,1
27639,5,Feedback,ABC,Good,1,0.6,1
28953,5,Feedback,ABC,Good,1,4.2,1
30098,5,Feedback,ABC,Good,1,3.7,1
30610,5,Feedback,ABC,Good,1,3.6,1
30844,5,Feedback,ABC,Good,1,4.7,1
30914,5,Feedback,ABC,Good,1,9.7,1
31620,5,Feedback,ABC,Good,1,7.3,1
33140,5,Feedback,ABC,Good,1,2.4,1
33572,5,Feedback,ABC,Good,1,9.3,1
34031,5,Feedback,ABC,Good,1,7.7,1
34183,5,Feedback,ABC,Good,1,0.6,1
34326,5,Feedback,ABC,Good,1,0.5,1
34700,5,Feedback,ABC,Good,1,1.9,1
35044,5,Feedback,ABC,Good,1,7.1,1
35393,5,Feedback,ABC,Good,1,2.7,1
35853,5,Feedback,ABC,Good,1,0.4,1
36446,5,Feedback,ABC,Good,1,0.4,1
37296,5,Feedback,ABC,Good,1,14.1,1
37320,5,Feedback,ABC,Good,1,0.2,1
37878,5,Feedback,ABC,Good,1,2.4,1
38436,5,Feedback,ABC,Good,1,10.8,1
39131,5,Feedback,ABC,Good,1,7.2,1
39202,5,Feedback,ABC,Good,1,1.4,1
39463,5,Feedback,ABC,Good,1,0.4,1
40365,5,Feedback,ABC,Good,1,3.1,1
41035,5,Feedback,ABC,Good,1,3.8,1
43686,5,Feedback,ABC,Good,1,3.2,1
44216,5,Feedback,ABC,Good,1,8.4,1
44590,5,Feedback,ABC,Good,1,2.4,1
46038,5,Feedback,ABC,Good,1,1,1
46844,5,Feedback,ABC,Good,1,3.1,1
47118,5,Feedback,ABC,Good,1,3.1,1
48748,5,Feedback,ABC,Good,1,1.4,1
48777,5,Feedback,ABC,Good,1,3.9,1
49814,5,Feedback,ABC,Good,1,2,1
49935,5,Feedback,ABC,Good,1,0.7,1
50028,5,Feedback,ABC,Good,1,2.2,1
50393,5,Feedback,ABC,Good,1,1,1
52640,5,Feedback,ABC,Good,1,0.2,1
53250,5,Feedback,ABC,Good,1,8.5,1
54070,5,Feedback,ABC,Good,1,3.3,1
54306,5,Feedback,ABC,Good,1,9.4,1
56008,5,Feedback,ABC,Good,1,2.2,1
57093,5,Feedback,ABC,Good,1,0.7,1
57534,5,Feedback,ABC,Good,1,8.3,1
57554,5,Feedback,ABC,Good,1,9.3,1
57846,5,Feedback,ABC,Good,1,4.1,1
58066,5,Feedback,ABC,Good,1,5.9,1
59351,5,Feedback,ABC,Good,1,6.2,1
59724,5,Feedback,ABC,Good,1,1.1,1
59737,5,Feedback,ABC,Good,1,2.9,1
59848,5,Feedback,ABC,Good,1,16.4,1
60987,5,Feedback,ABC,Good,1,2.3,1
62093,5,Feedback,ABC,Good,1,3.1,1
62971,5,Feedback,ABC,Good,1,0.5,1
63131,5,Feedback,ABC,Good,1,6.5,1
63276,5,Feedback,ABC,Good,1,5.4,1
64224,5,Feedback,ABC,Good,1,10.2,1
64305,5,Feedback,ABC,Good,1,7.9,1
65683,5,Feedback,ABC,Good,1,9,1
65958,5,Feedback,ABC,Good,1,0.1,1
69792,5,Feedback,ABC,Good,1,1.2,1
70169,5,Feedback,ABC,Good,1,2.8,1
70930,5,Feedback,ABC,Good,1,0.2,1
71210,5,Feedback,ABC,Good,1,12.7,1
71671,5,Feedback,ABC,Good,1,1.9,1
72639,5,Feedback,ABC,Good,1,0.7,1
72886,5,Feedback,ABC,Good,1,1.8,1
73076,5,Feedback,ABC,Good,1,2.4,1
73242,5,Feedback,ABC,Good,1,14.5,1
73376,5,Feedback,ABC,Good,1,3.1,1
73576,5,Feedback,ABC,Good,1,3.6,1
73889,5,Feedback,ABC,Good,1,12.4,1
75223,5,Feedback,ABC,Good,1,12.9,1
75642,5,Feedback,ABC,Good,1,9.3,1
75933,5,Feedback,ABC,Good,1,9.8,1
76484,5,Feedback,ABC,Good,1,19.2,1
76789,5,Feedback,ABC,Good,1,2.5,1
77101,5,Feedback,ABC,Good,1,8.9,1
77315,5,Feedback,ABC,Good,1,5.3,1
77446,5,Feedback,ABC,Good,1,16.3,1
78308,5,Feedback,ABC,Good,1,3.8,1
78730,5,Feedback,ABC,Good,1,3.3,1
79449,5,Feedback,ABC,Good,1,8.6,1
80879,5,Feedback,ABC,Good,1,1.6,1
81491,5,Feedback,ABC,Good,1,2.1,1
83299,5,Feedback,ABC,Good,1,33.1,1
83404,5,Feedback,ABC,Good,1,9.7,1
83825,5,Feedback,ABC,Good,1,0.2,1
84280,5,Feedback,ABC,Good,1,19.4,1
84414,5,Feedback,ABC,Good,1,7.2,1
84766,5,Feedback,ABC,Good,1,2.1,1
84847,5,Feedback,ABC,Good,1,0.1,1
84908,5,Feedback,ABC,Good,1,3.5,1
85571,5,Feedback,ABC,Good,1,6.5,1
86342,5,Feedback,ABC,Good,1,3.9,1
86666,5,Feedback,ABC,Good,1,2.7,1
86766,5,Feedback,ABC,Good,1,36.9,1
87020,5,Feedback,ABC,Good,1,6.8,1
87900,5,Feedback,ABC,Good,1,2.9,1
88546,5,Feedback,ABC,Good,1,13.7,1
89115,5,Feedback,ABC,Good,1,8.4,1
89846,5,Feedback,ABC,Good,1,3.8,1
89974,5,Feedback,ABC,Good,1,1.2,1
91087,5,Feedback,ABC,Good,1,0.9,1
91234,5,Feedback,ABC,Good,1,30.4,1
91438,5,Feedback,ABC,Good,1,3.3,1
91626,5,Feedback,ABC,Good,1,2.5,1
92185,5,Feedback,ABC,Good,1,2.9,1
93300,5,Feedback,ABC,Good,1,0.9,1
94828,5,Feedback,ABC,Good,1,1.7,1
95405,5,Feedback,ABC,Good,1,1.8,1
95434,5,Feedback,ABC,Good,1,2.7,1
95483,5,Feedback,ABC,Good,1,0.8,1
98352,5,Feedback,ABC,Good,1,24.3,1
98915,5,Feedback,ABC,Good,1,3.1,1
99021,5,Feedback,ABC,Good,1,6.3,1
218,96,Feedback,ABC,Good,1,2.3,1
4533,96,Feedback,ABC,Good,1,2.5,1
5258,96,Feedback,ABC,Good,1,0,1
5296,96,Feedback,ABC,Good,1,15.5,1
5779,96,Feedback,ABC,Good,1,1.5,1
5825,96,Feedback,ABC,Good,1,0.7,1
5908,96,Feedback,ABC,Good,1,4.1,1
6174,96,Feedback,ABC,Good,1,33.2,1
8259,96,Feedback,ABC,Good,1,1.6,1
9831,96,Feedback,ABC,Good,1,7.4,1
10605,96,Feedback,ABC,Good,1,13.9,1
11440,96,Feedback,ABC,Good,1,2.9,1
11861,96,Feedback,ABC,Good,1,30.3,1
12979,96,Feedback,ABC,Good,1,3.5,1
13478,96,Feedback,ABC,Good,1,4,1
15130,96,Feedback,ABC,Good,1,28.9,1
16872,96,Feedback,ABC,Good,1,16,1
16924,96,Feedback,ABC,Good,1,6.7,1
17271,96,Feedback,ABC,Good,1,3.2,1
17565,96,Feedback,ABC,Good,1,6,1
17689,96,Feedback,ABC,Good,1,5.6,1
17831,96,Feedback,ABC,Good,1,10.7,1
